file,audio_kmeans_lables,label,text,id
yga0721-20250722150612-673119385822730,0,High-tempo Music,"(1) High-tempo, upbeat electronic music starts immediately. A male voice rhythmically chants the word 'Eat' in a repetitive loop that is perfectly synchronized with the fast-paced visual cuts. (2) The acoustic environment is dominated by this music and vocal track, making it a 'music-video' style edit. (3) No ambient noise from the restaurants or street markets is audible. (4) The audio maintains a consistent volume and energetic tone until the end.",yga0721
yga0721-20250712182949-2375706539609377,0,High-tempo Music,"(1) High-tempo, upbeat electronic background music begins immediately, accompanied by an energetic male voice speaking Mandarin with a fast, enthusiastic pace. (2) The sounds of motorcycle engines revving and city traffic noise are briefly audible during the street scenes. (3) Ambient restaurant sounds, including the clatter of chopsticks and bowls, are heard during the food segments. (4) A short segment of a female street performer singing a melodic pop song with acoustic guitar accompaniment is heard during the night bridge scene. (5) Subtle 'pop' and 'swish' sound effects are used to punctuate text transitions and quick visual cuts. (6) The music maintains its energetic drive until the narrator gives a final enthusiastic sign-off, and the audio fades out.",yga0721
yga0721-20250504182600-2223193631423701,0,High-tempo Music,"(1) Fast-paced hip-hop music with an upbeat rhythm and heavy bass starts immediately. (2) A male vocal enters, rapping with an energetic and confident tone. (3) Throughout the video, the sound of the snowboard scraping against the snow and ice is intermittently audible underneath the music. (4) The music remains constant until the end of the clip, maintaining a high-energy atmosphere.",yga0721
yga0721-20250611065634-2360894914350137,0,High-tempo Music,"(1) Upbeat, high-tempo electronic background music starts immediately. (2) Rhythmic 'thump' or 'step' sound effects are played in perfect synchronization with each shoe transition on the screen. (3) As the person jumps into the frame at the end, a male vocal sample shouts 'Sexy!' and the music reaches a peak before cutting off.",yga0721
yga0721-20250919011014-1414797209996996,0,High-tempo Music,"(1) Fast-paced, upbeat variety-show music plays. High-pitched screams and laughter from a woman and children are heard as the first attack happens. (2) Sound effects like a 'whoosh' for the bird's wings and a 'ding' for emphasis are added during replays. (3) A male voice (onscreen) explains in Mandarin about the cost of the fish, mentioning '150 Yen' and '30 NT dollars'. (4) The music shifts to a suspenseful, ticking sound as the male voice counts down from five to one. (5) Upon the second attack, loud shouting and chaotic laughter erupt. A child's voice is heard laughing and talking. (6) The music ends with a triumphant, regal trumpet flourish as the bird is shown at the end.",yga0721
yga0721-20250706123635-2100026870760104,0,High-tempo Music,"(1) Upbeat Mandopop/Rock music begins immediately, featuring high-pitched and energetic female vocals. (2) The acoustic environment is dominated by studio-recorded music with clear electric guitar riffs and a steady drum beat. (3) No ambient noise or significant sound effects are heard; the audio is a continuous, high-quality music track. (4) The vocals remain consistent in tone, expressing a bright and emotional theme throughout the clip.",yga0721
yga0721-20250718012706-25955036230759552,0,High-tempo Music,"(1) Upbeat, high-energy rock music starts immediately featuring a male vocal singing in an expressive, slightly strained tone. (2) The instrumentation includes driving electric guitars and a steady drum kit. (3) The intensity of the music remains consistent through the middle section with the male vocals hitting higher notes. (4) Towards the end, the full rock arrangement cuts out, replaced by a soft, melodic acoustic guitar strumming and gentle 'la la la' humming. (5) No ambient environmental sounds or specific sound effects are audible over the music production.",yga0721
yga0721-20250710113531-1800633310644500,0,High-tempo Music,"(1) Upbeat, high-tempo pop-rock music with a strong drum beat begins immediately. A male voice speaks in an excited, high-pitched tone, announcing a 24-hour round-the-island challenge. (2) The music continues as a consistent backdrop while wind noise and the faint hum of scooter engines are heard during riding sequences. (3) Vocal interactions increase with the female voice laughing and the male voice shouting milestones. (4) During an emergency segment, a rhythmic alarm-like sound effect (SFX) is layered over the music. (5) The video ends with loud cheering, high-fives sounds, and a final enthusiastic summary from the male speaker as the music reaches a crescendo.",yga0721
yga0721-20251202103731-25494526250250449,0,High-tempo Music,"(1) The video opens with a loud, upbeat rock music intro featuring distorted electric guitars and high-tempo drums. (2) A female vocal enters, singing in a powerful, slightly raspy, and soulful tone in Taiwanese Hokkien. The vocal volume is high, dominating the soundscape. (3) The rock instrumentation remains consistent, maintaining a driving energy throughout the song. (4) In the final seconds, the music continues as the female voice shouts motivational call-outs ('People in the back!', 'Friends on the 3rd floor!') mimicking a live concert atmosphere, followed by a final vocal flourish.",yga0721
yga0721-20250728102646-1257482552967972,0,High-tempo Music,"(1) High-energy shouting and group cheering accompanied by upbeat, fast-tempo background music with a festive, comedic tone. (2) Sounds of dialogue in Mandarin, laughing, and the rustling of paper decorations. (3) The sound of running water and splashing in a bathtub as people chat excitedly. (4) Loud screaming and shouting as the man tries to run away, followed by the sound of rapid footsteps and the elevator chime. (5) Continuous laughter and playful shouting as the group carries the man; the music reaches a peak with sound effects like 'ding' or comic 'boing' sounds. (6) The man's voice is heard laughing and saying it feels comfortable while lying in the water, with the music fading into a light, happy melody.",yga0721
yga0721-20250828230651-1413473406899447,0,High-tempo Music,"(1) Fast-paced, high-energy upbeat background music starts. A male voice speaks loudly and emphatically in Mandarin. (2) Sound effects such as a cash register 'cha-ching' and sharp 'pop' sounds are heard as the man reveals money or transitions through tasks. The music maintains a constant high tempo with heavy electronic percussion. (3) The audio shifts to a dialogue between the male and a female voice; the male tone is defensive and humorous, while the female tone is questioning and slightly amused. Ambient room noise is minimal. (4) The music swells in volume as the man enters a high-pressure sales pitch mode, his voice becoming extremely loud, fast, and enthusiastic, punctuated by shouting to emphasize 'group buy' deals.",yga0721
yga0721-20251025113734-930454055982757,0,High-tempo Music,"(1) Upbeat, rhythmic string and percussion music starts immediately at a moderate tempo. (2) The music continues consistently through the sequence; no spoken vocals or dialogue are detected. (3) The audio remains constant with no significant ambient noise or sound effects during the transition to the montage or the final action.",yga0721
yga0721-20251005033339-1215004676874657,0,High-tempo Music,"(1) Fast-paced, upbeat hip-hop music with a heavy bass line and synthesized melodies starts immediately. (2) The music continues throughout the montage, with rhythmic beat-matching to the visual transitions. (3) In the final segment, the music volume decreases, and the man's voice is heard speaking in Mandarin with a shocked and humorous tone. (4) A woman's brief response is heard in the background as they discuss the price of the wasabi.",yga0721
yga0721-20251108215144-1231917712375400,0,High-tempo Music,"(1) The audio begins with a male vocal singing a Hokkien rock ballad in a passionate, slightly raspy tone. The BGM consists of melodic piano and a steady drum beat. (2) The vocal intensity increases in the chorus, with the singer reaching higher notes and expressing deep emotion. (3) A high-energy electric guitar solo enters, accompanied by fast-paced drumming and bass, transitioning the soundscape into hard rock. No vocals are present during this instrumental section.",yga0721
achusan0817-20250725044105-1408172037450523,0,High-tempo Music,"(1) High-pitched, cheerful female vocals speak quickly, accompanied by a light, bubbly sound effect. (2) As the scene changes to the dark hallway, a tense, suspenseful background music with low-frequency drones begins. A deep, professional male voice (news reporter style) speaks. (3) The main characters engage in dialogue with high-pitched, frantic tones. Loud, sharp sound effects (SFX) such as metallic bangs and ghostly whimpering are heard. (4) Sudden, loud screams from multiple male voices occur, followed by a transition to upbeat, fast-paced background music. (5) A female character's distinct, rhythmic laughing is heard, followed by more frantic shouting and running footsteps sound effects.",achusan0817
602avenue-20260109132629-924738616677753,0,High-tempo Music,"(1) An upbeat, fast-paced Japanese pop song starts immediately with a male vocalist singing with high energy. (2) The music maintains a consistent, high-BPM tempo throughout the entire video with a driving drum beat and electronic keyboard melodies. (3) There are no spoken vocals from the person on screen, nor any identifiable ambient noises or sound effects; the music dominates the entire audio track.",602avenue
602avenue-20250805214727-1450856373316085,0,High-tempo Music,"(1) High-energy electronic dance music starts immediately, featuring a heavy percussion beat and repetitive vocal hooks reminiscent of the K-pop song 'Bang Bang Bang'. (2) A male voice is heard speaking into a microphone with a high-pitched, excited tone, occasionally drowned out by the loud music and crowd cheers. (3) Ambient noise of a large outdoor crowd shouting and whistling is heard throughout the clip, mixing with the amplified stage music. (4) The music continues at a consistent high volume and fast tempo until the video ends.",602avenue
602avenue-20250828112640-788147827666935,0,High-tempo Music,"(1) High-tempo electronic dance music begins immediately with a repetitive rhythmic vocal hook saying 'Um-pa, um-pa'. (2) The music continues at a constant volume and pace, synchronized with visual cuts between different products and scenes. (3) No ambient environmental sounds or spoken dialogue are detected throughout the clip.",602avenue
602avenue-20250806225241-1272624531434555,0,High-tempo Music,"(1) An upbeat, high-tempo pop song titled ""Soda Pop"" begins immediately with clear female vocals singing lyrics about ""soda pop."" (2) The music remains continuous and consistent in energy level throughout the entire video. (3) There are no audible ambient noises from the subway or airport, nor are there any additional sound effects; the studio-recorded music track dominates the entire audio experience.",602avenue
602avenue-20250911063740-2136828867064032,0,High-tempo Music,"(1) A fast-paced, upbeat Japanese rap song with a heavy beat starts immediately and plays throughout the entire video. (2) No spoken dialogue is heard from the two women on screen. (3) The acoustic environment is dominated entirely by the studio-quality music track, with no detectable ambient noise or sound effects from the physical scene.",602avenue
602avenue-20260117081748-893200399996588,0,High-tempo Music,"(1) Fast-paced, high-energy electronic pop music starts immediately with a strong beat. (2) A female voice enters, speaking in Mandarin Chinese with an enthusiastic and informative tone, explaining the process seen on screen. (3) The music maintains a constant high tempo throughout, synchronized with quick visual cuts. No significant ambient noise or distracting sound effects are heard.",602avenue
602avenue-20250807001026-1176935484304428,0,High-tempo Music,"(1) High-energy upbeat pop music begins immediately with a female vocalist singing lyrics like ""We could be free"". (2) As the visuals transition to the press conference, the music remains at a consistent high volume, becoming the dominant audio layer. (3) Very faint ambient noise of a public gathering and camera shutters can be heard beneath the music, but no clear speech from the subjects is audible.",602avenue
602avenue-20250805081815-1738791200417408,0,High-tempo Music,"(1) Upbeat, high-tempo electronic/hip-hop music begins immediately with a consistent rhythmic beat. (2) As the visuals transition to the celebrity press event, distinct camera shutter sound effects (SFX) are layered over the music. (3) The music remains at a steady volume and tempo throughout the entire duration without any spoken vocals or dialogue.",602avenue
602avenue-20250806234225-3042543655946321,0,High-tempo Music,"(1) Fast-paced, upbeat Vietnamese pop music with a strong rhythmic beat and high-pitched female vocals starts immediately and remains constant. (2) No spoken dialogue from the person on screen is detected throughout the video. (3) Subtle ambient car movement sounds and the clicking of makeup compacts are masked by the loud background music. (4) The music maintains a consistent tempo and volume until the end of the clip.",602avenue
602avenue-20250805210954-927950859686186,0,High-tempo Music,"(1) An upbeat, high-tempo pop song with female vocals and a strong electronic beat starts immediately. (2) The music continues at a consistent volume throughout the clip, providing a high-energy and romantic atmosphere. (3) No spoken dialogue or ambient environmental noise is audible over the music track.",602avenue
602avenue-20250807000837-889330870603128,0,High-tempo Music,(1) Upbeat K-pop music begins immediately featuring high-energy female vocals performing rhythmic lyrics ('A-B-C-D-E-F-G...'). (2) The music maintains a fast tempo with heavy electronic beats. (3) Slight ambient wind noise is audible in the background throughout the dance performance.,602avenue
602avenue-20250807201152-1637007510647234,0,High-tempo Music,"(1) The video begins with an upbeat, high-tempo K-pop track ('Not Shy' by ITZY) that remains the dominant audio layer throughout. (2) Faint ambient noise of a large crowd cheering and a stadium announcer's muffled voice is layered under the music. (3) No direct dialogue from the creator is audible; the soundscape is a mix of the continuous BGM and occasional stadium SFX (clapping, horns). (4) The audio transitions between stadium acoustics and a slightly quieter, studio-like clarity for the music track. (5) In the final seconds, the ambient noise fades, leaving only the music and the sound of drinking water.",602avenue
602avenue-20251026202523-910312698580439,0,High-tempo Music,"(1) High-energy, upbeat pop music starts immediately with a female vocal repeating the phrase ""Rock your body."" (2) The music maintains a consistent fast tempo with electronic synthesizer beats and rhythmic percussion. (3) There is a faint layer of outdoor ambient wind noise, but the music remains the dominant acoustic element throughout. (4) No spoken dialogue or identifiable sound effects (SFX) are detected.",602avenue
602avenue-20251004225909-1713898022917032,0,High-tempo Music,"(1) Upbeat, high-tempo pop music begins immediately. A male voice narrates in a high-pitched, energetic, and slightly comedic tone, mimicking a female persona's thoughts. (2) The narration remains continuous and fast-paced, explaining the product benefits. (3) During the cleansing demonstration, faint sound effects of water splashing and liquid dispensing are layered over the music. (4) The music maintains its energy through the final promotional segment until the video ends.",602avenue
602avenue-20251004224806-935976715533237,0,High-tempo Music,"(1) High-tempo, upbeat pop music with female vocals begins immediately. (2) Pronounced chewing and swallowing sounds (ASMR-style) are layered over the music as the woman eats. (3) A female voice speaks in Mandarin with a friendly and enthusiastic tone, explaining the food. (4) The sound of liquid being sipped through a straw is heard. (5) The music continues at a consistent volume until the video ends.",602avenue
602avenue-20260218150728-2891765657830569,0,High-tempo Music,"(1) High-energy Brazilian funk music starts immediately with a heavy, rhythmic bassline and sharp percussion. (2) A male vocal enters with a rhythmic chanting style in Portuguese; dog bark sound effects (SFX) are heard in synchronization with the beat. (3) The upbeat music maintains its tempo and volume throughout the entire duration, with no ambient background noise detected.",602avenue
602avenue-20251021182133-1246665010753585,0,High-tempo Music,"(1) A loud, rhythmic Brazilian Funk (Funk Carioca) track with a heavy bassline and repetitive male vocal samples starts immediately. (2) The music continues at a constant high energy and volume throughout all scenes. (3) There are no audible environmental sounds or clear spoken dialogue from the main character, as the music dominates the entire soundscape.",602avenue
602avenue-20251111074625-1223562819958735,0,High-tempo Music,"(1) Upbeat, modern hip-hop music starts with a steady drum beat. A male vocal counts rhythmically: 'five, six, seven, eight'. (2) The music continues as the lyrics 'M's in my bank account' are heard. No ambient room noise or live vocals from the woman are present; the audio is entirely a studio-produced music track.",602avenue
602avenue-20251204110706-941200628346160,0,High-tempo Music,"(1) Upbeat K-pop style music (a remix of Hwasa's 'Maria') begins immediately with rhythmic electronic beats and female vocals. (2) The music continues at a steady, high-energy tempo as the interaction occurs. No spoken dialogue or ambient environmental noise is detectable over the track. (3) The music maintains its energy until the end of the video, concluding with the same upbeat rhythm.",602avenue
602avenue-20251228014345-1467337284905150,0,High-tempo Music,"(1) Upbeat, high-tempo electronic pop music begins immediately with a heavy bass line. (2) Sharp, rhythmic sound effects (resembling a synthesized 'shimmer' or 'ding') play in perfect synchronization with the characters' shoulder-brushing movements. (3) The music continues at a steady pace until the end with no human speech detected.",602avenue
602avenue-20260102024611-944563761409955,0,High-tempo Music,(1) An upbeat Mandarin pop song with a fast tempo and male vocals plays continuously from the start. (2) Subtle shuffling and tapping sounds are heard as the hand cleans the floor and knocks on the wall. (3) No spoken dialogue or narration is detected throughout the clip.,602avenue
2uncle987-20250502025450-1239391194952856,0,High-tempo Music,"(1) The audio consists of a continuous, upbeat pop-funk music track with a strong bassline and rhythmic drum beat. (2) There are no spoken vocals or dialogue from the participants; the audio is purely the background track. (3) The music maintains a consistent tempo and volume throughout the entire duration, ending abruptly with the video.",2uncle987
2uncle987-20250311234240-1855561948426789,0,High-tempo Music,"(1) Upbeat, fast-paced festive Chinese-style music starts with a high-energy female voice speaking in an excited tone. (2) Sound effects like a 'pop' when opening the ink bottle and shimmering 'sparkle' sounds when she shows the results. (3) The background music maintains a consistent tempo throughout the DIY demonstration. (4) The female voice continues to narrate enthusiastically, peaking in volume during the reveal of the finished couplets. (5) Ambient indoor noise is minimal, masked by the BGM.",2uncle987
2uncle987-20250311234240-930164589343812,0,High-tempo Music,"(1) Fast-paced, high-energy electronic background music begins immediately with sounds of feet running and papers rustling. (2) A female voice speaks in a frustrated, high-pitched tone complaining about wrinkled clothes. (3) A second female voice enters with a bright, professional, and promotional tone, introducing the YAMASAKI steamer. (4) The music continues at a steady upbeat tempo as the speaker details technical specifications like global voltage and steam speed. (5) The sound of steam hissing (SFX) is clearly audible during the demonstration phase. (6) The video ends with a conversational exchange between the two women in a friendly and humorous tone discussing a group purchase.",2uncle987
2uncle987-20250730000327-911616345152353,0,High-tempo Music,"(1) An upbeat, high-tempo pop music track begins immediately and plays throughout the video. A female voice speaks enthusiastically in Mandarin, introducing the products. (2) During the middle section, a male voice briefly comments on the sensation of the lip balm while he is on screen. (3) The female voiceover continues with a steady flow, describing the prices and scents of the various creams. (4) Background ambient noise is minimal, overshadowed by the music and vocal narration.",2uncle987
2uncle987-20250311234240-2154329232039354,0,High-tempo Music,"(1) Upbeat, high-tempo electronic dance music starts immediately with a strong rhythmic beat. (2) The music continues at a consistent volume and pace throughout the short duration, featuring a prominent bassline and synthesized melodies. (3) No human vocals, ambient noise, or additional sound effects are audible.",2uncle987
2uncle987-20250503055422-1575041640448298,0,High-tempo Music,"(1) Upbeat, high-tempo pop music featuring a female vocalist begins immediately. The melody is driven by a synthesizer and a steady electronic drum beat. (2) The music remains constant in style and volume throughout the outfit transitions. No spoken dialogue or ambient environmental sounds are detected. (3) The music maintains its energetic pace until the video cuts to an end.",2uncle987
2uncle987-20250628195039-1911215139504147,0,High-tempo Music,"(1) High-tempo, upbeat electronic pop music with a repetitive 'up and down' vocal chop starts immediately and continues throughout the entire video. (2) Discrete, cartoon-like 'pop' and 'ting' sound effects are synchronized with the appearance of text overlays on the screen. (3) No human speech or environmental ambient noise is audible over the loud background music.",2uncle987
2uncle987-20250506122114-2008438923348550,0,High-tempo Music,"(1) Fast-paced, upbeat, and whimsical circus-style instrumental music starts immediately. No vocals are present. (2) The same high-energy, comedic background music continues at a steady volume and tempo as the visual scenes cut between different people. (3) The music maintains its loop without any ambient noise or sound effects until the video ends. No human speech is detected throughout.",2uncle987
2uncle987-20250701213031-1643973796776748,0,High-tempo Music,"(1) An upbeat, high-tempo electronic pop track begins immediately with a consistent rhythmic beat. (2) No vocals are detected throughout the entire duration. (3) The background music maintains a steady energy level without any significant transitions or ambient interference until the video ends.",2uncle987
2uncle987-20250727001008-1570135097369071,0,High-tempo Music,"(1) High-tempo, upbeat electronic dance music starts immediately and continues throughout the montage. (2) Transition SFX like digital glitches occur between visual cuts. (3) Towards the end, the music lowers to allow for audible laughter and light-hearted shouting from the people in the hallway. (4) A final laugh track or giggle is heard over the ending text screen.",2uncle987
2uncle987-20251109203501-1928924717705721,0,High-tempo Music,"(1) An upbeat, high-tempo electronic pop song starts immediately, featuring a rhythmic male vocal chant repeating a phrase that sounds like 'Gongzhu qingshangche' (Princess, please get in the car). (2) The music remains consistent in tempo and volume throughout the entire video, with no changes in the soundscape. (3) No ambient environment noises, speech, or additional sound effects are audible over the background track.",2uncle987
2uncle987-20250914125753-4243332399264768,0,High-tempo Music,"(1) An upbeat, high-tempo Japanese pop-rock song with male vocals begins immediately. (2) Faint sounds of a scooter engine and wind noise are audible beneath the music. (3) A clear 'ding' sound effect of a bell ringing occurs in sync with the visual of the bell being pulled. (4) The music remains continuous throughout the transitions, maintaining a consistent high energy. (5) No spoken dialogue from the characters is detected; only the studio-recorded song and minor field-recorded environmental sounds are present.",2uncle987
2uncle987-20250608222244-1410631887525637,0,High-tempo Music,"(1) An upbeat, high-tempo J-pop song begins immediately, featuring energetic drums and electric guitar riffs. (2) Male vocals enter, singing in Japanese with an enthusiastic and bright tone that continues throughout the entire video. (3) No significant ambient noise or sound effects are detected; the music track is the dominant and continuous audio source, with cuts in the music being synchronized with the visual scene changes.",2uncle987
2uncle987-20260103083749-914925747736271,0,High-tempo Music,"(1) Fast-paced, high-energy Japanese J-pop/idol-style music begins with upbeat female vocals and heavy synthesizer percussion. (2) The music continues as the primary audio layer, with faint electronic beeps and ambient hum from the convenience store equipment occasionally audible in the background. (3) The upbeat tempo remains constant throughout the video, ending on a high note as the visuals conclude.",2uncle987
2uncle987-20250619020821-1192028069754942,0,High-tempo Music,"(1) Upbeat, medium-tempo hip-hop music featuring a heavy bass beat and rhythmic rapping begins immediately. No speaking vocals from the subject are detected. (2) The music continues through the fashion transition sequence, syncing with the cuts. (3) The music stops abruptly, replaced by a sudden silence for a brief second. (4) A loud, continuous, high-pitched operatic female scream or wailing sound effect plays at a high volume until the video ends.",2uncle987
2uncle987-20250805020742-1257351159672862,0,High-tempo Music,"(1) Upbeat, high-tempo pop music begins immediately. (2) A clear, sharp finger-snapping sound effect (SFX) is heard at the 2-second mark. (3) A magical 'shimmer' or 'sparkle' sound effect occurs simultaneously with the visual outfit change. (4) The music continues until the video ends; no vocals or speaking are detected.",2uncle987
2uncle987-20251020160138-1569385141219800,0,High-tempo Music,"(1) Upbeat, high-tempo pop music starts immediately with the sound of a group of women laughing and cheering loudly. (2) As the visuals cut to the newspaper-pulling game, the sound of rhythmic shuffling of paper against the floor is heard beneath the music. (3) The cheering and laughter continue throughout the duration, maintaining a high-energy and chaotic soundscape until the end.",2uncle987
2uncle987-20251121114016-904746669181299,0,High-tempo Music,"(1) An upbeat, high-tempo remix of the song 'Love Story' by Taylor Swift starts, featuring clear female vocals and electronic synth beats. (2) As the scene shifts to the parking lot, the music volume drops and loud, excited voices emerge. A male and female are heard shouting in Mandarin with high-pitched, humorous tones. (3) Sounds of shuffling feet and physical effort are audible during the struggle to lift. (4) The 'Love Story' remix returns to full volume for the final photo montage.",2uncle987
2uncle987-20251111183854-981068157827568,0,High-tempo Music,"(1) High-tempo, upbeat electronic pop music starts instantly, featuring a heavy kick drum and bright synthesizers. (2) High-pitched female vocals enter, singing a remix of the song 'Barbie Girl' with an energetic and playful tone. (3) The music continues at a steady, high-energy pace without interruption until the end of the video.",2uncle987
2uncle987-20251113203303-865291369659947,0,High-tempo Music,"(1) Upbeat, high-tempo pop music starts immediately with heavy bass. (2) A female voice shouts excitedly in Mandarin, followed by a chorus of voices shouting in unison. (3) The audio alternates between the main female speaker giving an announcement and the entire group shouting energetic phrases, accompanied by sound effects of crowd cheering and high-pitched comedic accents. (4) The background music maintains its intensity throughout, ending on a high-energy group cheer.",2uncle987
2uncle987-20251119024055-1420079536484872,0,High-tempo Music,"(1) The audio consists of a high-energy K-pop song with a driving electronic beat and female vocals singing in a mix of Korean and English. (2) The music remains at a consistent, high volume throughout the entire video. (3) No ambient environmental sounds, speech from the people in the video, or sound effects are detected; the studio-recorded music track completely masks any other potential audio.",2uncle987
2uncle987-20251115204648-25641745128825728,0,High-tempo Music,"(1) An upbeat, mid-tempo pop song with female vocals begins immediately and continues throughout the video. The tone is cheerful and bright. (2) Occasional sound effects are layered over the music, including the mechanical click of a camera shutter during the photoshoot segment. (3) Towards the end, a distinct digital beeping sound mimicking a phone alarm is heard. (4) Ambient city noise or wind is not audible, as the music dominates the entire soundscape. (5) No direct speech or dialogue from the on-screen characters is heard; the audio is purely music and functional SFX.",2uncle987
khshu_-20250806230357-1556535568973727,0,High-tempo Music,"(1) Upbeat, high-tempo pop music begins as a female speaker talks in a high-pitched, excited tone about opening the room. (2) The music maintains its energy as she describes the furniture and the common areas of the hotel. Faint ambient chatter from other guests is audible. (3) During the breakfast segment, clear sound effects of chewing and crunching are mixed with the narration and the background music, which remains consistent until the end.",khshu_
khshu_-20250919224932-772579525397713,0,High-tempo Music,"(1) Fast-tempo, upbeat variety-show style background music starts immediately. No human vocals are detected. (2) Sharp sound effects (SFX) like 'dings', 'pops', and 'whooshes' are synchronized with the appearance of text and facial expressions. (3) A classic 'shock' sound effect (like a sharp string hit or a slide) occurs when the man reacts to the woman's eating speed. (4) The music remains consistent in volume and tempo until the end of the clip.",khshu_
khshu_-20251105231101-762920526412203,0,High-tempo Music,"(1) Tense, fast-paced electronic keyboard music plays as the woman speaks rapidly and excitedly about buying concert tickets. Sound effects of rapid typing are heard. (2) An upbeat, cheerful pop track fades in as she cheers 'Got it!'. (3) A professional male voiceover narrator takes over, describing the benefits of the hair product over a rhythmic, high-energy background track. (4) Sound effects such as 'sparkles' and 'whooshes' emphasize the visual transition to healthy hair. (5) The woman's voice returns intermittently to express satisfaction. (6) The music remains consistent and energetic until the end, concluding with a clear promotional statement about a store discount.",khshu_
khshu_-20251124013506-3344580025721947,0,High-tempo Music,"(1) Upbeat, fast-paced music with traditional Japanese instruments (taiko drums and shamisen-style strings) begins immediately. A woman's voice is heard speaking excitedly in Chinese. (2) As the scene transitions to the demonstration, the background music lowers slightly, and a male voice is heard speaking calmly in Japanese, providing instructions. (3) Sound effects like a 'sparkle' chime and a 'ding' are heard when specific hand signs are completed. (4) The woman responds with short affirmative sounds ('Hai!'). (5) The music reaches a short crescendo as they finish the pose.",khshu_
