,file,id,date_time,dur,media_id,visual_kmeans_lables,visual_kmeans_center_dis,visual_text
11,yga0721-20250501204334-2130096337823392,yga0721,2025-05-01 20:43:34,42.96,2130096337823392.0,2,0.781571846982431,"(1) The camera executes a slow, sweeping pan to the right across a tranquil public park. The setting is dominated by green grass, mature leafy trees with dark trunks, and a grey brick-paved walkway. A stone pavilion is visible in the distant background under a slightly overcast sky. (2) The camera focuses on two paper shopping bags resting on the top rail of a dark brown wooden fence. One bag is a classic bright orange Hermes bag with black handles and logo; the other is a pale yellow bag decorated with numerous colorful smiley-face icons in red, blue, green, and orange. (3) A young man with short brown hair, wearing a bright yellow and white color-blocked polo shirt and loose blue denim jeans, walks into the frame from the right. He wears white earbuds and looks toward the bags with an exaggerated expression of agitation and concern. (4) The man stands before the bags, gesturing toward them with both hands in a scolding manner. He points directly at the yellow bag and occasionally taps the wooden fence rail. His body language is highly animated, leaning in and out as he appears to confront the inanimate objects."
12,yga0721-20250502083058-1420619716263407,yga0721,2025-05-02 08:30:58,57.17,1420619716263407.0,2,0.3973259034925253,"(1) A man with short brown hair, wearing white over-ear headphones and a beige sweatshirt, sits on a brown leather sofa in a studio. He speaks into a black professional microphone, gesturing with his hands. Behind him is a light-colored brick wall with built-in shelves displaying various colorful figurines, including Pinocchio and other pop-culture characters. (2) A static image is overlaid on the screen showing a shirtless muscular man with a serious expression; white and gold text is superimposed on this image. (3) The man on the sofa points and makes a finger-heart gesture, laughing. (4) An insert graphic appears showing a side-by-side comparison of two men in white shirts, one a professional portrait and the other a similar pose. (5) A person wearing a large, yellow cartoon mask with a huge smile and black hair is shown in a close-up against a teal background. (6) A woman with black hair in a ponytail, wearing a white sweater, sits on the same sofa next to a patterned pillow, laughing heartily with her eyes closed."
13,yga0721-20250502080323-1226932216214578,yga0721,2025-05-02 08:03:23,34.83,1226932216214578.0,0,0.9266897465991232,"(1) A woman in pink and white floral pajamas stands in a modern kitchen with light wood-tiled floors and minimalist white cabinets. She turns around with a sleepy, slightly confused facial expression, looking toward the camera. (2) She walks across the room to a tall white cabinet unit, reaches into a side shelf, and retrieves a purple pressurized spray can. (3) The woman walks back toward a white kitchen island table. On the table, several snack boxes and a smartphone are visible. She looks down at the floor area beneath the table. (4) She squats down low, holding the spray can with both hands, and begins spraying repeatedly into the narrow gap under the base of the white table. Her long dark hair obscures most of her face as she focuses on the ground. (5) As she continues to spray, a hand enters from the top left corner of the frame, pointing toward the floor. The setting remains brightly lit by indoor overhead lights."
14,yga0721-20250501064141-895023786227361,yga0721,2025-05-01 06:41:41,87.96,895023786227361.0,3,0.7270954291633234,"(1) The video opens with a main creator, a man with brown hair wearing a white t-shirt, jumping energetically on a street pavement alongside two women. They are all smiling and waving their hands excitedly toward the camera, which is held at eye-level. The background shows a modern building exterior under bright natural daylight. (2) The scene cuts to the man standing alone, speaking directly to the camera with an animated facial expression. He wears a white 'Human Made' brand t-shirt and camouflage patterned shorts, with a brown backpack on his shoulders. The setting is an urban walkway with cars passing by in the background. (3) A sequence follows showing several women in an indoor/covered area attempting to put on tight black and green wetsuits. One woman with a braid laughs as she struggles with the zipper, while another person helps her pull the suit up. They are standing on green artificial turf. (4) The focus shifts to an outdoor harbor area where a group of people are gathered near a white passenger van. A man in a white tank top and glasses sits at a wooden table speaking, while women in wetsuits stand behind him, some adjusting their hair or smiling at the conversation. (5) There are several quick cuts to individual interviews where a woman speaks in front of a neutral grey wall indoors, and later another woman speaks while standing outdoors near diving equipment. Their expressions are cheerful and expressive as they gesture with their hands. (6) Multiple underwater shots are shown, featuring divers in full gear swimming through murky green water near a sandy and rocky seabed. Air bubbles rise from their regulators as they use hand signals to communicate. One diver surfaces in the water, wearing a mask and snorkel, and looks towards the camera with a wide-eyed, excited expression."
15,yga0721-20250928123209-3256577404526283,yga0721,2025-09-28 12:32:09,58.52,3256577404526283.0,2,0.6713010694379515,"(1) The video begins with a medium close-up of a young male with brown hair, wearing a yellow crew-neck t-shirt and professional black headphones with a visible logo. He is standing in front of a silver condenser microphone with a mesh pop filter. He sings with high emotional intensity, frequently squinting his eyes and opening his mouth wide to hit certain notes. His right hand is visible, making small, expressive gestures in the air to accompany the melody. The background is a simple, light-blue pleated curtain, providing a clean studio aesthetic. The lighting is bright and even, likely from a studio source. (2) As the song progresses, the man continues his performance in the same setting. He maintains his emotional delivery, with his facial expressions reflecting the sentimental nature of the lyrics. He occasionally looks slightly away from the microphone as he breathes. His hands are more active in this phase, sometimes palms up or fingers curled as if grasping the emotion of the song. The lighting remains constant, and the camera stays static, focusing on his upper body and head. Small subtitles in Traditional Chinese appear at the bottom center of the frame. (3) In the final section, the performer reaches the climax of the song. His vocal delivery becomes more powerful, indicated by his wider mouth movements and increased bodily tension. He tilts his head slightly back while holding a long note. The condenser microphone remains stationary in the foreground. The light blue curtain behind him stays static, and no other people or objects enter the frame. The video concludes with him finishing the phrase and relaxing his posture slightly as the screen fades out."
16,yga0721-20250502072009-1295059725764097,yga0721,2025-05-02 07:20:09,67.15,1295059725764097.0,3,0.8145226916017317,"(1) The video begins outdoors on a green artificial turf pathway. A man in an olive green quilted jacket and a striped shirt stands in the center, gesturing with his hands and pointing to the side. The background features bare winter trees, a lawn, and distant buildings under an overcast sky. (2) The scene cuts to a clothing store interior with bright studio-style lighting. Racks of diverse garments are visible. A red sign with white text ""PRICE DOWN"" stands on a rack. The man picks up a black and white striped long-sleeved shirt to examine the price tag. (3) He moves to another section, holding a thick, fluffy red and white striped hoodie. A woman in a grey fleece jacket appears, holding the same item next to her face, smiling broadly. (4) Back outdoors, a group of four men stands on the green turf. One man wears a black beanie and mask, holding a large grey Balenciaga shopping bag. The others point at the bag in excitement. (5) In a different indoor setting, a man with long dark hair and glasses holds up a chunky light blue sneaker for the camera. The main character looks on with a curious and slightly surprised facial expression. (6) Returning to the shop, the man holds a large heart-patterned pink pillow, then switches to a green camouflage patterned pillow. Background shelves are filled with colorful merchandise. (7) He is seen crouching on a wooden floor, looking closely at a pair of black sneakers. A person in plaid trousers stands beside him, holding a clipboard. (8) He holds up a small red children's sweatshirt with a Santa Claus print and a price tag, then shows a similar beige one with a holiday graphic. (9) Finally, he stands near a rack of puffy winter jackets in various colors like purple and green, gesturing toward them while looking at the camera with an animated expression."
17,yga0721-20250502125542-926532136396806,yga0721,2025-05-02 12:55:42,59.77,926532136396806.0,3,0.6407702521519347,"(1) The video opens on a green outdoor basketball court where a man in a white padded jacket and a woman in a yellow and blue vest are standing. The man gestures excitedly towards the background as they talk. Behind them, other individuals are playing basketball near a hoop. (2) A sharp cut shows a young child in a bright yellow and red patterned outfit looking through a circular plastic window of a wooden playground structure. He waves his hands against the glass, smiling brightly. (3) The scene shifts to a playground with wood chips on the ground. A man in a black sweatshirt is pushing two young children on swings. The children are laughing as they swing high into the air. Bare trees and a fence are visible in the background. (4) A young boy in the same colorful outfit is seen riding a tire swing attached to a zipline. He glides across a grassy area, gripping the center pole tightly. He reaches the end, steps off, and strikes a pose with a big smile. (5) A man and woman walk past a red running track toward a massive Banyan tree. Built into the tree is a wooden treehouse with ladders. A child is seen climbing the wooden steps while an adult assists from below. (6) In a covered outdoor area, a man in a blue tracksuit attempts to climb a vertical metal pole. Several children and another man watch. One child playfully pulls at the climber's pants, causing laughter among the group. (7) The man in a striped pink shirt and the woman in a white hoodie stand in front of 'Changkeng Elementary School'. They are laughing and gesturing. Behind them is a school building with mural art on the walls. (8) They explore a mossy concrete tunnel that looks like an old air-raid shelter. They crouch down to enter the circular opening. (9) The camera focuses on a wooden sign that reads 'Toilet' with text indicating it won a gold medal in New Taipei City. (10) A chaotic scene unfolds on a large red running track surrounded by mountains. Kids run toward the camera, and a woman in a blue vest with green balls attached runs across the field. (11) The video concludes with the man and woman walking on the track, pointing towards the scenic mountains and the crowded playground filled with families."
18,yga0721-20250501223707-2208394253232647,yga0721,2025-05-01 22:37:07,89.86,2208394253232647.2,3,0.8119973840798427,"(1) A man with short brown hair, dressed in a turquoise t-shirt over a white long-sleeved shirt and blue jeans, stands in a brightly lit indoor studio with beige walls and minimalist cabinets. He gestures energetically with wooden chopsticks in his hand, smiling broadly at the camera. (2) A woman with long black hair wearing an olive green hoodie enters the frame from the left; they stand behind a white counter where three small white bowls containing cooked seafood rings are placed. (3) The woman uses chopsticks to pick up a piece of food from the bowls, tasting it while the man looks on with an exaggerated, expectant expression. (4) Close-up shots of the bowls show different varieties of sliced squid and octopus on a white surface under bright, even studio lighting. (5) The man holds a smartphone close to the camera, displaying a webpage with the 'Taiwan Mobile' logo and various promotion details; his facial expressions shift to a serious, informative look as he points at the screen. (6) A series of screen recordings show the smartphone interface scrolling through streaming service packages including Netflix, Disney+, and MyVideo. (7) Back to the duo, the man picks up a bowl and shows it to the lens, revealing the contents while speaking with high energy. (8) The video concludes with the man and woman performing a synchronized energetic dance and heart-shaped hand gestures against the same studio background."
19,yga0721-20250523021125-1532978657788554,yga0721,2025-05-23 02:11:25,64.55,1532978657788554.0,2,0.7331977329008477,"(1) A man with short brown hair and a white/black striped sweater talks to a person wearing a large orange cartoon mask and a red hoodie. They are in a brightly lit room with a brown leather couch and shelves filled with colorful toys and figurines in the background. (2) The camera focus shifts to the man in the striped sweater, who displays exaggerated facial expressions of excitement and shock. He uses animated hand gestures while looking directly into the lens. The background features a domestic-style studio with soft overhead lighting and decorative items. (3) Various women, dressed in casual sweaters and skirts, approach a large cardboard box labeled with text. They reach out to open the box lid. The setting is a large, open indoor studio with white walls and studio lighting equipment visible in the far corners. (4) Fast cuts show the man's head popping out of the box unexpectedly as the lids are lifted. The victims jump back with wide eyes and open mouths, their hands flying up in surprise. Large colorful text overlays with jagged borders appear frequently on the screen. (5) The filming perspective shifts to inside the box, looking up as a woman opens it. Her face fills the frame, showing a transition from curious expectation to sudden fright, then quickly to a wide smile and laughter. The lighting remains consistent and bright."
20,yga0721-20250213170746-908739578298355,yga0721,2025-02-13 17:07:46,8.32,908739578298355.0,2,0.7957632265907653,"(1) A man with messy black hair and a red shirt smiles broadly at the camera, holding a cardboard box with blue tape. An inset box at the bottom left shows another man's face in a striped shirt, frozen in an extreme open-mouthed shock expression. The background is a white indoor ceiling with recessed lighting. (2) The scene cuts to a woman with short dark hair in a gray shirt who is screaming intensely with her mouth wide open and eyes squeezed shut. The shocked-face inset remains constant. (3) A man with black curly hair and thick black-rimmed glasses leans over the box, looking down with a focused and surprised expression in a room with warm wooden furniture. (4) Cut to a man with short black hair and a dark shirt opening his mouth in a wide, exaggerated shout or yawn towards the camera. (5) A woman with her hair tied back is shown mid-scream, with her eyes wide and eyebrows raised in mock terror. (6) A woman wearing a black mask and a striped sweater looks down into the box with a composed yet curious gaze, while another person is partially visible in the background."
21,yga0721-20250408132842-1221883949463628,yga0721,2025-04-08 13:28:42,24.85,1221883949463628.0,0,0.8705830680725533,"(1) The video presents a high-resolution, wide-angle view of a modern living room and dining area, captured from a high fixed position. In the foreground, a plush grey sofa sits on the right, bordering a dark green area rug that holds two nested wooden circular coffee tables. The midground features a long, low wooden TV console topped with various small green potted plants and a large, black flat-screen television. To the right of the console, a dining set with a light-colored wooden table and four matching chairs is visible, situated near a dark brown entrance door and a wooden staircase. The lighting is bright and uniform, suggesting strong indoor overhead lights illuminating the entire open-plan space. (2) The entire visual frame suddenly experiences a series of intense, rapid horizontal and vertical vibrations. The camera perspective jitters violently, making the walls, furniture, and objects appear to shake as if during a significant seismic event. Despite the vigorous motion of the camera frame, large objects like the sofa, TV, and dining table do not appear to slide across the floor or topple over, though the intensity of the shaking is visually pronounced. (3) The violent shaking of the frame abruptly stops, and the scene returns to a completely static state. The room's arrangement remains identical to the first phase, with all furniture and decorations, including the small plants on the TV stand and the items on the kitchen counter in the background, appearing undisturbed. The lighting conditions remain consistent and bright, and the static wide-angle perspective of the room is maintained until the end of the recording."
22,yga0721-20250529112242-2382887622148423,yga0721,2025-05-29 11:22:42,60.75,2382887622148423.0,2,0.8070513696874391,"(1) The video begins with a man with short brown hair wearing a brown, orange, and white striped polo shirt. He stands in a brightly lit indoor room with wooden floors, holding small slips of white paper and looking intensely at them with a focused expression. A crowd of people, including a woman in a red hoodie and grey beanie, surrounds him, watching with anticipation and smiling in the background. (2) The man interacts with a woman wearing a grey beanie and a red hoodie as they appear to be participating in a drawing or card game. Other individuals in the background are laughing, clapping, and gesturing towards the main character, creating a high-energy social atmosphere. The camera uses handheld movements to track the excitement, focusing on their varied facial expressions and reactions. (3) A man in a beige sweater is introduced, holding a large playing card with a decorative red geometric pattern on the back. He displays it with a dramatic flair while the crowd reacts with wide-eyed surprise and laughter. The lighting remains consistent and bright throughout the scene, highlighting the domestic indoor environment and various background figures. (4) The man in the striped shirt is seen holding a massive deck of oversized playing cards against his chest. He looks nervous and focused as the crowd behind him raises their hands and cheers enthusiastically. He prepares to draw a card while the camera captures the physical tension in his posture and the surrounding people's eager faces. (5) The climax occurs as the man slaps down an Ace of clubs onto the wooden table. He immediately erupts into a celebration, jumping up and down with his arms raised high in the air. The crowd joins in the celebration, with people hugging him and cheering, while vibrant text overlays and graphic effects appear on the screen."
23,yga0721-20250502075250-1379219033508350,yga0721,2025-05-02 07:52:50,60.47,1379219033508350.0,2,0.8503276087574506,"(1) The scene begins in a brightly lit indoor studio with wood-paneled walls. A male character wearing a white long-sleeved shirt with a black collar line (Cai Aga) stands on the left, holding a stack of oversized playing cards with a red geometric pattern. A female character (Er Gu) in a pale green knit sweater stands to his right, looking at the cards. (2) The camera cuts to a close-up of the table surface where two cards, a Queen of Diamonds and a 5 of Hearts, are placed apart. The male character's hand is visible holding the rest of the deck. (3) The female character is shown jumping and spinning in excitement, her face wide with a joyful expression. The male character looks toward the camera with a dejected, exaggerated frown. (4) A rapid montage sequence follows, showing various indoor group settings with multiple people cheering and playing the same game. There are high-contrast edits and digital zoom effects on the participants' faces. (5) Returning to the main setting, the male character places a final card, the 10 of Clubs, between the two initial cards. The female character covers her mouth with her hands in shock and delight. (6) The male character looks directly into the lens, grimacing and making a mock-angry face as the female character continues to laugh and clap in the background."
24,yga0721-20251129004849-1404130634505530,yga0721,2025-11-29 00:48:49,62.28,1404130634505530.0,2,0.870653498042196,"(1) A group of five young adults, including a central man in a black jacket and a woman in a green hoodie, are visible praying. They hold bundles of burning incense sticks, performing synchronized bowing motions toward the temple altar. The setting is the interior of a traditional temple featuring a bright red ceiling and intricately carved stone pillars. Yellow subtitles appear at the bottom. (2) Two young women wearing white face masks wave their hands enthusiastically and clap for the camera in an outdoor setting. The background consists of a flat urban parking lot with several silver cars parked behind a red and white gate. The lighting is natural, bright daylight. A white heart and the character '爺' appear as variety text overlays on their faces. (3) In a close-up shot focusing on hands, a person is seen placing individual snack packages and a white sheet of paper onto a series of red plastic offering trays. The objects include crackers, juice cartons, and a metal tabletop. The environment remains the temple interior, though the background is blurred to emphasize the objects. Subtitles tracking the dialogue appear. (4) A young woman with long dark hair and a black jacket is seen arranging and unfolding two large white sheets of paper on a metal table. In the background, numerous red lanterns hang from the ceiling, and stacks of yellow spirit paper are visible. The scene uses a medium shot with eye-level perspective. A variety text tag is displayed."
